kernel;n_rays;time;Rps;Rps/Eur;Rps/W;n_blocks;n_threads
OpenVDB;64;0.00119719;53458.7;16.2488;356.391;1;1
NanoVDB_CPU;64;0.000648692;98660.1;29.9879;657.734;1;1
NanoVDB_GPU;64;9.9228e-05;644979;257.992;9213.99;256;256
OpenVDB;64;0.000269983;237052;72.0523;1580.35;1;1
NanoVDB_CPU;64;2.0801e-05;3.07678e+06;935.19;20511.8;1;1
NanoVDB_GPU;64;9.4914e-05;674295;269.718;9632.78;256;256
OpenVDB;64;0.000273495;234008;71.127;1560.05;1;1
NanoVDB_CPU;64;2.2143e-05;2.8903e+06;878.512;19268.7;1;1
NanoVDB_GPU;64;8.889e-05;719991;287.996;10285.6;256;256
OpenVDB;81;0.000274747;294817;89.6099;1965.44;1;1
NanoVDB_CPU;81;0.00160792;50375.6;15.3117;335.837;1;1
NanoVDB_GPU;81;0.000187795;431321;172.529;6161.73;256;256
OpenVDB;100;0.00028002;357117;108.546;2380.78;1;1
NanoVDB_CPU;100;0.000688319;145281;44.1585;968.543;1;1
NanoVDB_GPU;100;0.00014745;678196;271.278;9688.51;256;256
OpenVDB;100;0.000255021;392125;119.187;2614.16;1;1
NanoVDB_CPU;100;3.7822e-05;2.64396e+06;803.636;17626.4;1;1
NanoVDB_GPU;100;0.000145868;685551;274.221;9793.59;256;256
OpenVDB;121;0.000279781;432481;131.453;2883.21;1;1
NanoVDB_CPU;121;0.00151142;80057.2;24.3335;533.714;1;1
NanoVDB_GPU;121;0.000214226;564824;225.93;8068.92;256;256
OpenVDB;121;0.000265543;455670;138.502;3037.8;1;1
NanoVDB_CPU;121;4.2146e-05;2.87097e+06;872.636;19139.8;1;1
NanoVDB_GPU;121;0.000214251;564758;225.903;8067.97;256;256
OpenVDB;144;0.000290846;495107;150.489;3300.72;1;1
NanoVDB_CPU;144;0.000294909;488286;148.415;3255.24;1;1
NanoVDB_GPU;144;8.7996e-05;1.63644e+06;654.575;23377.7;256;256
OpenVDB;169;0.000276629;610927;185.692;4072.84;1;1
NanoVDB_CPU;169;0.00123045;137348;41.7472;915.656;1;1
NanoVDB_GPU;169;0.000219294;770655;308.262;11009.4;256;256
OpenVDB;196;0.000275851;710529;215.966;4736.86;1;1
NanoVDB_CPU;196;0.000361634;541984;164.737;3613.23;1;1
NanoVDB_GPU;196;0.000144945;1.35224e+06;540.895;19317.7;256;256
OpenVDB;196;0.000253491;773203;235.016;5154.69;1;1
NanoVDB_CPU;196;3.5289e-05;5.55414e+06;1688.19;37027.6;1;1
NanoVDB_GPU;196;0.000135265;1.44901e+06;579.603;20700.1;256;256
OpenVDB;225;0.000271517;828677;251.878;5524.52;1;1
NanoVDB_CPU;225;0.000778552;288998;87.8413;1926.65;1;1
NanoVDB_GPU;225;0.000235381;955897;382.359;13655.7;256;256
OpenVDB;256;0.000269711;949164;288.5;6327.76;1;1
NanoVDB_CPU;256;0.000189047;1.35416e+06;411.599;9027.74;1;1
NanoVDB_GPU;256;0.000143428;1.78487e+06;713.947;25498.1;256;256
OpenVDB;289;0.000268407;1.07672e+06;327.271;7178.15;1;1
NanoVDB_CPU;289;0.00034218;844585;256.713;5630.56;1;1
NanoVDB_GPU;289;0.000230346;1.25463e+06;501.854;17923.3;256;256
OpenVDB;324;0.000249286;1.29971e+06;395.049;8664.75;1;1
NanoVDB_CPU;324;7.1912e-05;4.50551e+06;1369.45;30036.7;1;1
NanoVDB_GPU;324;0.000188355;1.72016e+06;688.062;24573.7;256;256
OpenVDB;361;0.000253339;1.42497e+06;433.121;9499.79;1;1
NanoVDB_CPU;361;0.000178748;2.0196e+06;613.861;13464;1;1
NanoVDB_GPU;361;0.000261823;1.37879e+06;551.518;19697.1;256;256
OpenVDB;441;0.000292042;1.51006e+06;458.984;10067;1;1
NanoVDB_CPU;441;0.000154519;2.85402e+06;867.483;19026.8;1;1
NanoVDB_GPU;441;0.000255064;1.72898e+06;691.591;24699.7;256;256
OpenVDB;484;0.000282614;1.71258e+06;520.542;11417.2;1;1
NanoVDB_CPU;484;5.72e-05;8.46154e+06;2571.9;56410.3;1;1
NanoVDB_GPU;484;0.000235314;2.05683e+06;822.73;29383.2;256;256
OpenVDB;529;0.000266861;1.98231e+06;602.524;13215.4;1;1
NanoVDB_CPU;529;0.000121546;4.35226e+06;1322.88;29015.1;1;1
NanoVDB_GPU;529;0.000290589;1.82044e+06;728.176;26006.3;256;256
OpenVDB;576;0.000261144;2.20568e+06;670.419;14704.5;1;1
NanoVDB_CPU;576;6.6683e-05;8.63788e+06;2625.5;57585.9;1;1
NanoVDB_GPU;576;0.000212587;2.70948e+06;1083.79;38706.8;256;256
OpenVDB;676;0.000293748;2.30129e+06;699.481;15341.9;1;1
NanoVDB_CPU;676;6.7501e-05;1.00147e+07;3043.97;66764.4;1;1
NanoVDB_GPU;676;0.000241132;2.80344e+06;1121.38;40049.2;256;256
OpenVDB;729;0.000231036;3.15535e+06;959.074;21035.7;1;1
NanoVDB_CPU;729;0.000133056;5.4789e+06;1665.32;36526;1;1
NanoVDB_GPU;729;0.00030701;2.37452e+06;949.806;33921.6;256;256
OpenVDB;841;0.000296998;2.83167e+06;860.69;18877.8;1;1
NanoVDB_CPU;841;0.000103557;8.12113e+06;2468.43;54140.9;1;1
NanoVDB_GPU;841;0.0005457;1.54114e+06;616.456;22016.3;256;256
OpenVDB;961;0.000265143;3.62446e+06;1101.66;24163.1;1;1
NanoVDB_CPU;961;5.9369e-05;1.61869e+07;4920.03;107913;1;1
NanoVDB_GPU;961;0.000537457;1.78805e+06;715.22;25543.6;256;256
OpenVDB;1089;0.000246347;4.42059e+06;1343.65;29470.6;1;1
NanoVDB_CPU;1089;8.2117e-05;1.32616e+07;4030.87;88410.4;1;1
NanoVDB_GPU;1089;0.0005733;1.89953e+06;759.812;27136.1;256;256
OpenVDB;1225;0.000228381;5.36384e+06;1630.35;35759;1;1
NanoVDB_CPU;1225;0.0083678;146395;44.4968;975.964;1;1
NanoVDB_GPU;1225;0.000546256;2.24254e+06;897.015;32036.3;256;256
OpenVDB;1369;0.000257772;5.31089e+06;1614.25;35406;1;1
NanoVDB_CPU;1369;0.000109313;1.25237e+07;3806.59;83491.1;1;1
NanoVDB_GPU;1369;0.000562851;2.43226e+06;972.904;34746.6;256;256
OpenVDB;1521;0.000244224;6.22789e+06;1892.98;41519.3;1;1
NanoVDB_CPU;1521;8.8719e-05;1.7144e+07;5210.95;114293;1;1
NanoVDB_GPU;1521;0.000558395;2.72388e+06;1089.55;38912.5;256;256
OpenVDB;1681;0.000259399;6.48036e+06;1969.72;43202.4;1;1
NanoVDB_CPU;1681;9.1072e-05;1.84579e+07;5610.31;123053;1;1
NanoVDB_GPU;1681;0.000530724;3.16737e+06;1266.95;45248.2;256;256
OpenVDB;1936;0.000265956;7.2794e+06;2212.58;48529.3;1;1
NanoVDB_CPU;1936;0.000106088;1.8249e+07;5546.81;121660;1;1
NanoVDB_GPU;1936;0.000506886;3.8194e+06;1527.76;54562.8;256;256
OpenVDB;2116;0.000280368;7.54722e+06;2293.99;50314.8;1;1
NanoVDB_CPU;2116;0.000104044;2.03375e+07;6181.63;135584;1;1
NanoVDB_GPU;2116;0.000512533;4.12851e+06;1651.41;58978.8;256;256
OpenVDB;2401;0.000286106;8.39199e+06;2550.76;55946.6;1;1
NanoVDB_CPU;2401;0.000135807;1.76795e+07;5373.71;117863;1;1
NanoVDB_GPU;2401;0.000560737;4.28186e+06;1712.75;61169.5;256;256
OpenVDB;2704;0.000313176;8.63412e+06;2624.35;57560.8;1;1
NanoVDB_CPU;2704;0.000131997;2.04853e+07;6226.54;136569;1;1
NanoVDB_GPU;2704;0.000513435;5.26649e+06;2106.6;75235.6;256;256
OpenVDB;3025;0.000334368;9.04692e+06;2749.82;60312.8;1;1
NanoVDB_CPU;3025;0.000170833;1.77074e+07;5382.17;118049;1;1
NanoVDB_GPU;3025;0.000589741;5.12937e+06;2051.75;73276.7;256;256
OpenVDB;3364;0.000349994;9.61159e+06;2921.46;64077.3;1;1
NanoVDB_CPU;3364;0.000170026;1.97852e+07;6013.74;131901;1;1
NanoVDB_GPU;3364;0.000535496;6.28203e+06;2512.81;89743.2;256;256
OpenVDB;3721;0.00227612;1.6348e+06;496.899;10898.7;1;1
NanoVDB_CPU;3721;0.000173984;2.1387e+07;6500.62;142580;1;1
NanoVDB_GPU;3721;0.000550844;6.75509e+06;2702.04;96501.3;256;256
OpenVDB;4225;0.000432543;9.76781e+06;2968.94;65118.8;1;1
NanoVDB_CPU;4225;0.000223672;1.88893e+07;5741.42;125928;1;1
NanoVDB_GPU;4225;0.000551551;7.66022e+06;3064.09;109432;256;256
OpenVDB;4761;0.000426563;1.11613e+07;3392.49;74408.7;1;1
NanoVDB_CPU;4761;0.000210701;2.2596e+07;6868.09;150640;1;1
NanoVDB_GPU;4761;0.000567356;8.39156e+06;3356.62;119879;256;256
OpenVDB;5329;0.000447196;1.19165e+07;3622.03;79443.2;1;1
NanoVDB_CPU;5329;0.000258986;2.05764e+07;6254.23;137176;1;1
NanoVDB_GPU;5329;0.000565224;9.42812e+06;3771.25;134687;256;256
OpenVDB;5929;0.000482202;1.22957e+07;3737.29;81971.2;1;1
NanoVDB_CPU;5929;0.000262384;2.25967e+07;6868.28;150644;1;1
NanoVDB_GPU;5929;0.000605133;9.79785e+06;3919.14;139969;256;256
OpenVDB;6724;0.000541743;1.24118e+07;3772.58;82745.3;1;1
NanoVDB_CPU;6724;0.000298525;2.25241e+07;6846.22;150161;1;1
NanoVDB_GPU;6724;0.000553956;1.21381e+07;4855.26;173402;256;256
OpenVDB;7569;0.000615488;1.22976e+07;3737.86;81983.7;1;1
NanoVDB_CPU;7569;0.000340294;2.22425e+07;6760.65;148284;1;1
NanoVDB_GPU;7569;0.00058305;1.29817e+07;5192.69;185453;256;256
OpenVDB;8464;0.00064762;1.30694e+07;3972.46;87129.3;1;1
NanoVDB_CPU;8464;0.000336567;2.5148e+07;7643.78;167654;1;1
NanoVDB_GPU;8464;0.000546176;1.54968e+07;6198.73;221383;256;256
OpenVDB;9409;0.000695366;1.3531e+07;4112.77;90206.7;1;1
NanoVDB_CPU;9409;0.000415429;2.26489e+07;6884.16;150993;1;1
NanoVDB_GPU;9409;0.000572934;1.64225e+07;6568.99;234607;256;256
OpenVDB;10609;0.000724471;1.46438e+07;4451;97625.3;1;1
NanoVDB_CPU;10609;0.00042484;2.49718e+07;7590.2;166478;1;1
NanoVDB_GPU;10609;0.000583965;1.81672e+07;7266.87;259531;256;256
OpenVDB;11881;0.000844037;1.40764e+07;4278.54;93842.6;1;1
NanoVDB_CPU;11881;0.00047053;2.52502e+07;7674.85;168335;1;1
NanoVDB_GPU;11881;0.000581247;2.04405e+07;8176.21;292008;256;256
OpenVDB;13225;0.000873349;1.51429e+07;4602.69;100952;1;1
NanoVDB_CPU;13225;0.000515265;2.56664e+07;7801.34;171109;1;1
NanoVDB_GPU;13225;0.000598079;2.21125e+07;8844.99;315892;256;256
OpenVDB;14884;0.000966874;1.53939e+07;4679.01;102626;1;1
NanoVDB_CPU;14884;0.000574334;2.59152e+07;7876.97;172768;1;1
NanoVDB_GPU;14884;0.000574155;2.59233e+07;10369.3;370333;256;256
OpenVDB;16641;0.00106528;1.56213e+07;4748.11;104142;1;1
NanoVDB_CPU;16641;0.000632864;2.62947e+07;7992.32;175298;1;1
NanoVDB_GPU;16641;0.000594197;2.80059e+07;11202.3;400084;256;256
OpenVDB;18769;0.001188;1.57989e+07;4802.09;105326;1;1
NanoVDB_CPU;18769;0.000715796;2.62212e+07;7969.96;174808;1;1
NanoVDB_GPU;18769;0.000575182;3.26314e+07;13052.6;466163;256;256
OpenVDB;21025;0.00132029;1.59245e+07;4840.26;106163;1;1
NanoVDB_CPU;21025;0.000799211;2.63072e+07;7996.11;175381;1;1
NanoVDB_GPU;21025;0.000793543;2.64951e+07;10598;378501;256;256
OpenVDB;23409;0.00142718;1.64023e+07;4985.49;109348;1;1
NanoVDB_CPU;23409;0.00092335;2.53522e+07;7705.85;169015;1;1
NanoVDB_GPU;23409;0.000832271;2.81267e+07;11250.7;401809;256;256
OpenVDB;26244;0.00213032;1.23193e+07;3744.46;82128.5;1;1
NanoVDB_CPU;26244;0.0010015;2.62046e+07;7964.92;174697;1;1
NanoVDB_GPU;26244;0.000823226;3.18795e+07;12751.8;455421;256;256
OpenVDB;29584;0.00185696;1.59314e+07;4842.37;106209;1;1
NanoVDB_CPU;29584;0.00109662;2.69774e+07;8199.83;179850;1;1
NanoVDB_GPU;29584;0.000806278;3.66921e+07;14676.8;524172;256;256
OpenVDB;33124;0.0120018;2.75992e+06;838.881;18399.5;1;1
NanoVDB_CPU;33124;0.0158288;2.09264e+06;636.06;13950.9;1;1
NanoVDB_GPU;33124;0.000846512;3.913e+07;15652;559000;256;256
OpenVDB;37249;0.0122968;3.02917e+06;920.722;20194.5;1;1
NanoVDB_CPU;37249;0.0157453;2.36572e+06;719.065;15771.5;1;1
NanoVDB_GPU;37249;0.000845894;4.40351e+07;17614;629072;256;256
OpenVDB;41616;0.0125219;3.32346e+06;1010.17;22156.4;1;1
NanoVDB_CPU;41616;0.0157467;2.64284e+06;803.294;17618.9;1;1
NanoVDB_GPU;41616;0.00110855;3.7541e+07;15016.4;536300;256;256
OpenVDB;46656;0.0139129;3.35342e+06;1019.28;22356.2;1;1
NanoVDB_CPU;46656;0.00891567;5.23303e+06;1590.59;34886.9;1;1
NanoVDB_GPU;46656;0.00119527;3.90338e+07;15613.5;557625;256;256
OpenVDB;52441;0.0141805;3.6981e+06;1124.04;24654;1;1
NanoVDB_CPU;52441;0.0120012;4.36966e+06;1328.16;29131.1;1;1
NanoVDB_GPU;52441;0.00124408;4.21525e+07;16861;602179;256;256
OpenVDB;58564;0.0146533;3.99663e+06;1214.78;26644.2;1;1
NanoVDB_CPU;58564;0.0151613;3.86273e+06;1174.08;25751.5;1;1
NanoVDB_GPU;58564;0.00128844;4.54533e+07;18181.3;649333;256;256
OpenVDB;65536;0.0149773;4.37569e+06;1330;29171.3;1;1
NanoVDB_CPU;65536;0.0103975;6.30308e+06;1915.83;42020.5;1;1
NanoVDB_GPU;65536;0.00141007;4.64773e+07;18590.9;663961;256;256
OpenVDB;73441;0.015452;4.75286e+06;1444.64;31685.7;1;1
NanoVDB_CPU;73441;0.0122926;5.97443e+06;1815.94;39829.5;1;1
NanoVDB_GPU;73441;0.00154493;4.75367e+07;19014.7;679096;256;256
OpenVDB;82369;0.0157669;5.22418e+06;1587.9;34827.9;1;1
NanoVDB_CPU;82369;0.012195;6.75433e+06;2052.99;45028.8;1;1
NanoVDB_GPU;82369;0.00176583;4.66462e+07;18658.5;666374;256;256
OpenVDB;92416;0.00539566;1.71278e+07;5206.03;114186;1;1
NanoVDB_CPU;92416;0.00351781;2.62709e+07;7985.07;175139;1;1
