INDEX:100:<ulong>,origin_z:100:<float>,gt_intersect_x:100:<float>,gt_intersect_y:100:<float>,nano_intersect_x:100:<float>,open_intersect_x:100:<float>,nano_intersect_y:100:<float>,open_intersect_y:100:<float>,nano_idx_x:100:<float>,open_idx_x:100:<float>,nano_idx_y:100:<float>,open_idx_y:100:<float>,nano_value:100:<float>,nano_time:100:<float>,open_time:100:<float>
0,-50,100,-50,0,100,0,-50,0,20,0,0,0,0,20
1,-49,98.4294586182,-49.9753265381,0,90.0773010254,0,-49,0,18.015460968,0,0,0,0,18.015460968
2,-48,96.8604736328,-49.9013366699,0,86.16771698,0,-48,0,17.233543396,0,0,0,0,17.233543396
3,-47,95.2945861816,-49.7780990601,0,83.1132659912,0,-47,0,16.6226539612,0,0,0,0,16.6226539612
4,-46,93.7333374023,-49.6057357788,0,80.4661102295,0,-46,0,16.0932216644,0,0,0,0,16.0932216644
5,-45,92.178276062,-49.3844146729,0,78.3085098267,0,-45,0,15.6617021561,0,0,0,0,15.6617021561
6,-44,90.6309280396,-49.1143608093,0,76.3538818359,0,-44,0,15.2707767487,0,0,0,0,15.2707767487
7,-43,89.0928344727,-48.7958374023,0,74.5452041626,0,-43,0,14.909040451,0,0,0,0,14.909040451
8,-42,87.5654983521,-48.4291572571,0,72.9803771973,0,-42,0,14.596075058,0,0,0,0,14.596075058
9,-41,86.0504379272,-48.0146827698,0,71.4661102295,0,-41,0,14.2932224274,0,0,0,0,14.2932224274
10,-40,84.5491485596,-47.5528259277,0,70,0,-40,0,14,0,0,0,0,14
11,-39,83.0630950928,-47.0440368652,0,68.7807388306,0,-39,0,13.7561483383,0,0,0,0,13.7561483383
12,-38,81.5937652588,-46.488822937,0,67.5988464355,0,-38,0,13.5197696686,0,0,0,0,13.5197696686
13,-37,80.1426010132,-45.8877296448,0,66.4526290894,0,-37,0,13.2905263901,0,0,0,0,13.2905263901
14,-36,78.7110290527,-45.2413482666,0,65.3404922485,0,-36,0,13.0680980682,0,0,0,0,13.0680980682
15,-35,77.3004684448,-44.5503234863,0,64.3122253418,0,-35,0,12.8624448776,0,0,0,0,12.8624448776
16,-34,75.9123077393,-43.8153305054,245,63.4033813477,-170,-34,49,12.6806764603,0,0,124.642486572,0,12.6806764603
17,-33,74.5479202271,-43.0370941162,245,62.5186576843,-165,-33,49,12.5037317276,0,0,123.925262451,0,12.5037317276
18,-32,73.2086486816,-42.2163887024,245,61.6571121216,-160,-32,49,12.3314228058,0,0,124.642486572,0,12.3314228058
19,-31,71.8958435059,-41.3540344238,245,60.8178482056,-155,-31,49,12.1635694504,0,0,124.427642822,0,12.1635694504
20,-30,70.610748291,-40.4508552551,245,60,-150,-30,49,12,0,0,124.92855072,0,12
21,-29,69.3546600342,-39.5077590942,245,59.3144607544,-145,-29,49,11.8628921509,0,0,123.349365234,0,11.8628921509
22,-28,68.1288070679,-38.5256690979,245,58.643699646,-140,-28,49,11.7287397385,0,0,122.046508789,0,11.7287397385
23,-27,66.9344100952,-37.5055618286,245,57.9872512817,-135,-27,49,11.5974502563,0,0,124.140739441,0,11.5974502563
24,-26,65.7726516724,-36.4484367371,245,57.3446617126,-130,-26,49,11.4689321518,0,0,123.565536499,0,11.4689321518
25,-25,64.6446685791,-35.355342865,245,56.7154922485,-125,-25,49,11.3430986404,0,0,123.27722168,0,11.3430986404
26,-24,63.551574707,-34.2273635864,280,56.1851730347,-120,-24,56,11.2370347977,0,0,123.27722168,0,11.2370347977
27,-23,62.4944496155,-33.0655975342,280,55.6652145386,-115,-23,56,11.1330432892,0,0,123.565536499,0,11.1330432892
28,-22,61.4743423462,-31.8712062836,280,55.1553192139,-110,-22,56,11.0310640335,0,0,124.140739441,0,11.0310640335
29,-21,60.4922523499,-30.6453590393,280,54.6667442322,-105,-21,56,10.9333486557,0,0,121.026306152,0,10.9333486557
30,-20,59.5491523743,-29.3892688751,280,54.1798858643,-100,-20,56,10.8359775543,0,0,122.046508789,0,10.8359775543
31,-19,58.6459732056,-28.1041717529,280,53.795375824,-95,-19,56,10.7590751648,0,0,123.349365234,0,10.7590751648
32,-18,57.7836074829,-26.791343689,280,53.4161376953,-90,-18,56,10.6832275391,0,0,124.92855072,0,10.6832275391
33,-17,56.9629020691,-25.4520740509,280,53.0420532227,-85,-17,56,10.6084108353,0,0,122.40940094,0,10.6084108353
34,-16,56.1846656799,-24.0876846313,280,52.6730308533,-80,-16,56,10.5346059799,0,0,124.427642822,0,10.5346059799
35,-15,55.449672699,-22.6995277405,280,52.3089599609,-75,-15,56,10.4617919922,0,0,122.191757202,0,10.4617919922
36,-14,54.7586479187,-21.2889652252,280,52.0441436768,-70,-14,56,10.4088287354,0,0,124.642486572,0,10.4088287354
37,-13,54.1122703552,-19.8573951721,280,51.7820739746,-65,-13,56,10.3564147949,0,0,122.699165344,0,10.3564147949
38,-12,53.511177063,-18.4062271118,280,51.5227165222,-60,-12,56,10.3045434952,0,0,120.880065918,0,10.3045434952
39,-11,52.9559631348,-16.9368953705,280,51.2660255432,-55,-11,56,10.2532052994,0,0,123.925262451,0,10.2532052994
40,-10,52.4471740723,-15.4508485794,280,51.0119590759,-50,-10,56,10.2023916245,0,0,122.40940094,0,10.2023916245
41,-9,51.9853134155,-13.9495534897,80,50.8577346802,-45,-9,16,10.171546936,0,0,-0.755710601807,16,10.171546936
42,-8,51.5708427429,-12.4344921112,75,50.7045135498,-40,-8,15,10.1409025192,0,0,-2.83009529114,15,10.1409025192
43,-7,51.204158783,-10.9071588516,65,50.5522842407,-35,-7,13,10.1104564667,0,0,-0.502524375916,13,10.1104564667
44,-6,50.8856391907,-9.3690738678,65,50.4010353088,-30,-6,13,10.080206871,0,0,-3.90227794647,13,10.080206871
45,-5,50.6155853271,-7.82173061371,60,50.2507591248,-25,-5,12,10.050151825,0,0,-2.83009529114,12,10.050151825
46,-4,50.3942680359,-6.2666683197,55,50.2003860474,-20,-4,11,10.0400772095,0,0,-0.755710601807,11,10.0400772095
47,-3,50.2219009399,-4.70542192459,55,50.1501235962,-15,-3,11,10.0300245285,0,0,-2.56583690643,11,10.0300245285
48,-2,50.0986633301,-3.1395316124,55,50.0999679565,-10,-2,11,10.019993782,0,0,-3.90227794647,11,10.019993782
49,-1,50.0246734619,-1.57054293156,55,50.0499305725,-5,-1,11,10.0099859238,0,0,-4.723072052,11,10.0099859238
50,0,50,-4.3711388571e-06,55,50,0,0,11,10,0,0,-5,11,10
51,1,50.0246734619,1.57053411007,55,50.0499305725,5,1,11,10.0099859238,0,0,-4.723072052,11,10.0099859238
52,2,50.0986633301,3.13952302933,55,50.0999679565,10,2,11,10.019993782,0,0,-3.90227794647,11,10.019993782
53,3,50.2219009399,4.70540142059,55,50.1501235962,15,3,11,10.0300245285,0,0,-2.56583690643,11,10.0300245285
54,4,50.3942642212,6.26664829254,55,50.2003860474,20,4,11,10.0400772095,0,0,-0.755710601807,11,10.0400772095
55,5,50.6155815125,7.82171058655,60,50.2507591248,25,5,12,10.050151825,0,0,-2.83009529114,12,10.050151825
56,6,50.885635376,9.36905384064,65,50.4010353088,30,6,13,10.080206871,0,0,-3.90227794647,13,10.080206871
57,7,51.204158783,10.9071512222,65,50.5522842407,35,7,13,10.1104564667,0,0,-0.502524375916,13,10.1104564667
58,8,51.5708389282,12.4344835281,75,50.7045135498,40,8,15,10.1409025192,0,0,-2.83009529114,15,10.1409025192
59,9,51.9853134155,13.9495449066,80,50.8577346802,45,9,16,10.171546936,0,0,-0.755710601807,16,10.171546936
60,10,52.4471702576,15.4508399963,280,51.0119590759,50,10,56,10.2023916245,0,0,122.40940094,0,10.2023916245
61,11,52.9559593201,16.9368877411,280,51.2660255432,55,11,56,10.2532052994,0,0,123.925262451,0,10.2532052994
62,12,53.5111732483,18.4062194824,280,51.5227165222,60,12,56,10.3045434952,0,0,120.880065918,0,10.3045434952
63,13,54.1122627258,19.8573875427,280,51.7820739746,65,13,56,10.3564147949,0,0,122.699165344,0,10.3564147949
64,14,54.758644104,21.2889575958,280,52.0441436768,70,14,56,10.4088287354,0,0,124.642486572,0,10.4088287354
65,15,55.4496688843,22.6995182037,280,52.3089599609,75,15,56,10.4617919922,0,0,122.191757202,0,10.4617919922
66,16,56.1846656799,24.087677002,280,52.6730308533,80,16,56,10.5346059799,0,0,124.427642822,0,10.5346059799
67,17,56.9628944397,25.4520645142,280,53.0420532227,85,17,56,10.6084108353,0,0,122.40940094,0,10.6084108353
68,18,57.7835998535,26.7913341522,280,53.4161376953,90,18,56,10.6832275391,0,0,124.92855072,0,10.6832275391
69,19,58.6459693909,28.1041660309,280,53.795375824,95,19,56,10.7590751648,0,0,123.349365234,0,10.7590751648
70,20,59.5491485596,29.3892593384,280,54.1798858643,100,20,56,10.8359775543,0,0,122.046508789,0,10.8359775543
71,21,60.4922485352,30.6453495026,280,54.6620368958,105,21,56,10.9324073792,0,0,121.026306152,0,10.9324073792
72,22,61.4743347168,31.8711967468,280,55.1553192139,110,22,56,11.0310640335,0,0,124.140739441,0,11.0310640335
73,23,62.4944381714,33.0655860901,280,55.6652145386,115,23,56,11.1330432892,0,0,123.565536499,0,11.1330432892
74,24,63.5515594482,34.2273483276,245,56.1851730347,120,24,49,11.2370347977,0,0,123.27722168,0,11.2370347977
75,25,64.6446533203,35.3553314209,245,56.7154922485,125,25,49,11.3430986404,0,0,123.27722168,0,11.3430986404
76,26,65.7726364136,36.4484214783,245,57.3446617126,130,26,49,11.4689321518,0,0,123.565536499,0,11.4689321518
77,27,66.9343948364,37.5055465698,245,57.9872512817,135,27,49,11.5974502563,0,0,124.140739441,0,11.5974502563
78,28,68.1287918091,38.5256576538,245,58.643699646,140,28,49,11.7287397385,0,0,122.046508789,0,11.7287397385
79,29,69.354637146,39.5077438354,245,59.3144607544,145,29,49,11.8628921509,0,0,123.349365234,0,11.8628921509
80,30,70.6107254028,40.450843811,245,60,150,30,49,12,0,0,124.92855072,0,12
81,31,71.8958206177,41.3540229797,245,60.8178482056,155,31,49,12.1635694504,0,0,124.427642822,0,12.1635694504
82,32,73.208656311,42.2163925171,245,61.6571121216,160,32,49,12.3314228058,0,0,124.642486572,0,12.3314228058
83,33,74.5479202271,43.0370979309,245,62.5186576843,165,33,49,12.5037317276,0,0,123.925262451,0,12.5037317276
84,34,75.9123077393,43.8153305054,245,63.4033813477,170,34,49,12.6806764603,0,0,124.642486572,0,12.6806764603
85,35,77.3004684448,44.5503234863,245,64.3122253418,175,35,49,12.8624448776,0,0,0,0,12.8624448776
86,36,78.7110290527,45.2413482666,0,65.3404922485,0,36,0,13.0680980682,0,0,0,0,13.0680980682
87,37,80.1426010132,45.8877296448,0,66.4526290894,0,37,0,13.2905263901,0,0,0,0,13.2905263901
88,38,81.5937576294,46.4888191223,0,67.5988464355,0,38,0,13.5197696686,0,0,0,0,13.5197696686
89,39,83.0630874634,47.0440330505,0,68.7807388306,0,39,0,13.7561483383,0,0,0,0,13.7561483383
90,40,84.5491333008,47.552822113,0,70,0,40,0,14,0,0,0,0,14
91,41,86.0504302979,48.0146789551,0,71.4661102295,0,41,0,14.2932224274,0,0,0,0,14.2932224274
92,42,87.5654907227,48.4291534424,0,72.9803771973,0,42,0,14.596075058,0,0,0,0,14.596075058
93,43,89.0928268433,48.7958335876,0,74.5452041626,0,43,0,14.909040451,0,0,0,0,14.909040451
94,44,90.6309204102,49.1143608093,0,76.3538818359,0,44,0,15.2707767487,0,0,0,0,15.2707767487
95,45,92.1782684326,49.3844146729,0,78.3085098267,0,45,0,15.6617021561,0,0,0,0,15.6617021561
96,46,93.7333297729,49.6057319641,0,80.4661102295,0,46,0,16.0932216644,0,0,0,0,16.0932216644
97,47,95.2945709229,49.7780990601,0,83.1132659912,0,47,0,16.6226539612,0,0,0,0,16.6226539612
98,48,96.8604660034,49.9013366699,0,86.16771698,0,48,0,17.233543396,0,0,0,0,17.233543396
99,49,98.4294509888,49.9753265381,0,90.0773010254,0,49,0,18.015460968,0,0,0,0,18.015460968

